Image,Percent green,Non_Leg_p,Legume_p,Kernza_P,Non Leg,Legume,Kernza,Non_Leg_cm,Legume_cm,Kernza_cm,Op,Type
3416,17.26618908,4.262565543,9.52178712,86.21564734,0.007359826,0.016440498,0.148861567,18.39956566,41.1012442,372.1539171,KN,IWGm
3419,12.85217657,0,0,100,0,0,0.128521766,0,0,321.3044142,KN,IWGm
3421,20.54079228,2.904479892,3.85454426,93.24097585,0.005966032,0.007917539,0.191524352,14.91507953,19.79384824,478.8108792,KN,IWGm
3425,10.95080667,0,12.37944114,87.62055886,0,0.018459433,0.091048633,0,46.14858327,227.6215835,KN,IWGm
3428,12.91401019,0,43.39866737,56.60133263,0,0.056045083,0.073095019,0,140.1127082,182.7375466,KN,IWGm
3432,23.7751485,9.391859451,48.00742075,42.6007198,0.022329285,0.114138356,0.101283844,55.8232133,285.3458894,253.2096099,KN,IWGm
3434,26.00701303,5.13750314,29.14634058,65.71615628,0.013361111,0.075800926,0.170908093,33.40277778,189.5023148,427.2702332,KN,IWGm
3430,17.70368355,16.01147757,28.59572321,55.39279922,0.028346213,0.050624963,0.098065659,70.86553305,126.5624087,245.1641472,KN,IWGm
3440,7.603605118,0,13.41114799,86.58885201,0,0.010197307,0.065838744,0,25.49326838,164.5968596,KN,IWGm
3442,8.081036504,0,30.32471407,69.67528593,0,0.024505512,0.056304853,0,61.26378034,140.7621323,KN,IWGm
3444,21.0646012,39.31140291,46.72050305,13.96809404,0.082807902,0.098414876,0.029423233,207.0197562,246.0371911,73.55808263,KN,IWGm
3446,18.990666,39.51096021,12.57763635,47.91140344,0.075033945,0.023885769,0.090986946,187.5848622,59.71442273,227.4673651,KN,IWGm
3448,14.19610472,0,15.9649072,84.0350928,0,0.022663949,0.119297098,0,56.65987361,298.2427444,KN,IWGm
3450,22.29223712,11.61449351,0,88.38550649,0.025891304,0,0.197031067,64.72826083,0,492.5776671,KN,IWGm
3451,15.62046873,29.83660775,0,70.16339225,0.04660618,0,0.109598507,116.5154496,0,273.9962687,KN,IWGm
3452,22.40757371,0.935072122,55.73817326,43.32675462,0.00209527,0.124895723,0.097084745,5.238174373,312.2393065,242.711862,KN,IWGm
3453,19.13594084,0,29.35996826,70.64003174,0,0.056183062,0.135176347,0,140.4576539,337.9408671,KN,IWGm
3454,5.991484889,46.29556605,30.23045579,23.47397816,0.027737918,0.018112532,0.014064399,69.34479611,45.28132976,35.16099635,KN,IWGm
3455,2.144440571,11.37226388,0,88.62773612,0.002438714,0,0.019005691,6.096786013,0,47.51422825,KN,IWGm
3456,11.56057816,50.97737243,1.442471363,47.58015621,0.05893279,0.00166758,0.055005411,147.3319746,4.168950734,137.5135287,KN,IWGm
3457,29.72436899,44.89361669,0.538461846,55.10638331,0.133443443,0.005384618,0.163800247,333.6086069,13.46154614,409.5006177,KN,IWGm
3458,20.52626621,0,39.23758526,60.76241474,0,0.080540112,0.12472255,0,201.3502801,311.8063751,KN,IWGm
3459,34.27204364,0,19.03501792,80.96498208,0,0.065236896,0.27748354,0,163.0922412,693.7088497,KN,IWGm
image7,14.05764229,0,0,100,0,0,0.140576423,0,0,351.4410572,KN,IWGb
image3,11.66948325,13.6809458,0,86.3190542,0.015964957,0,0.100729876,39.91239198,0,251.8246894,KN,IWGb
image5,27.83217902,1.728298224,0,98.27170178,0.004810231,0,0.27351156,12.02557639,0,683.7788991,KN,IWGb
image9,14.78226985,11.18010113,0,88.81989887,0.016526727,0,0.131295971,41.31681796,0,328.2399283,KN,IWGb
image11,18.06763252,10.88620575,0,89.11379425,0.019668796,0,0.161007529,49.17199125,0,402.5188217,KN,IWGb
image1,13.70147013,54.80652252,2.208274578,42.9852029,0.075092993,0.003025661,0.058896047,187.7324828,7.564152044,147.2401184,KN,IWGb
image2,15.91802567,19.13705584,0,80.86294416,0.030462415,0,0.128717842,76.15603651,0,321.7946052,KN,IWGb
image4,21.2355061,29.69739171,0,70.30260829,0.063063914,0,0.149291147,157.6597857,0,373.2278667,KN,IWGb
image6,25.05424063,36.89999781,0,63.10000219,0.092450142,0,0.158092264,231.1253561,0,395.2306597,KN,IWGb
image8,16.15499357,51.81778267,0,48.18221733,0.083711595,0,0.077838341,209.2789864,0,194.5958528,KN,IWGb
image10,19.584025,19.71812259,0.322430528,79.95944688,0.038616021,0.000631449,0.156592781,96.54005143,1.578621879,391.4819516,KN,IWGb
image12,16.18896891,16.07012426,0,83.92987574,0.026015874,0,0.135873815,65.03968548,0,339.6845372,KN,IWGb
image14,10.24633089,36.680489,0,63.319511,0.037584043,0,0.064879266,93.96010689,0,162.1981654,KN,IWGb
image15,19.62252183,41.92867546,0,58.07132454,0.082274635,0,0.113950583,205.6865874,0,284.8764584,KN,IWGb
image16,13.1864029,23.79607379,0,76.20392621,0.031378462,0,0.100485567,78.4461541,0,251.2139184,KN,IWGb
image17,20.36335178,45.8520918,0,54.1479082,0.093370228,0,0.11026329,233.4255688,0,275.6582257,KN,IWGb
3416,20.68958709,3.586861902,5.478881166,90.93425693,0.007421069,0.011335579,0.188139223,18.55267293,28.33894727,470.3480571,SW,IWGm
3419,12.67695649,0,0,100,0,0,0.126769565,0,0,316.9239122,SW,IWGm
3421,22.17956755,0.405923578,9.274643972,90.31943245,0.000900321,0.020570759,0.200324595,2.250802352,51.42689812,500.8114883,SW,IWGm
3425,12.08765942,0,12.37944114,87.62055886,0,0.014963847,0.105912747,0,37.40961708,264.7818684,SW,IWGm
3428,12.03393988,0,30.58125563,69.41874437,0,0.036801299,0.0835381,0,92.00324794,208.8452491,SW,IWGm
3432,28.58405677,10.70964873,36.19825744,53.09209383,0.030612521,0.103469305,0.151758742,76.5313018,258.6732614,379.396856,SW,IWGm
3434,20.82253086,6.883239869,31.17937696,61.93738317,0.014332647,0.064923354,0.128969307,35.83161866,162.3083848,322.4232682,SW,IWGm
3430,18.76499554,14.41978639,24.09457083,61.48564278,0.027058723,0.045213451,0.115377781,67.6468068,113.0336285,288.4444531,SW,IWGm
3440,8.570461473,0,9.697834051,90.30216595,0,0.008311491,0.077393123,0,20.77872828,193.4828085,SW,IWGm
3442,8.81157383,0,26.21219303,73.78780697,0,0.023097067,0.065018671,0,57.74266852,162.5466772,SW,IWGm
3444,25.44491847,28.09510447,37.80999219,34.09490334,0.071487764,0.096207217,0.086754204,178.7194107,240.5180422,216.885509,SW,IWGm
3446,21.804134,31.41043367,14.03247696,54.55708937,0.06848773,0.030596601,0.118957009,171.2193261,76.49150198,297.3925218,SW,IWGm
3448,14.53893939,0,21.15170152,78.84829848,0,0.030752331,0.114637063,0,76.88082661,286.5926581,SW,IWGm
3450,23.12020884,7.749318785,0,92.25068122,0.017916587,0,0.213285502,44.79146716,0,533.2137538,SW,IWGm
3451,15.62046873,24.33860234,0,75.66139766,0.038018038,0,0.11818665,95.04509419,0,295.4666241,SW,IWGm
3452,22.40757371,1.264226022,61.71631534,37.01945864,0.002832824,0.138291289,0.082951625,7.082059443,345.7282213,207.379062,SW,IWGm
3453,22.04158075,0,26.86046329,73.13953671,0,0.059204707,0.1612111,0,148.0117676,403.0277511,SW,IWGm
3454,9.773958996,29.1397807,15.19196743,55.66825187,0.028481102,0.014848567,0.054409921,71.20275544,37.12141668,136.0248028,SW,IWGm
3455,3.844796161,6.225479101,0,93.7745209,0.00239357,0,0.036054392,5.983924537,0,90.1359795,SW,IWGm
3456,15.15723288,32.08856401,2.500707864,65.41072813,0.048637384,0.003790381,0.099144564,121.5934594,9.475952866,247.8614098,SW,IWGm
3457,26.37550501,46.56651461,0,53.43348539,0.122821534,0,0.140933516,307.0538348,0,352.3337904,SW,IWGm
3458,21.75374673,0,32.94967473,67.05032527,0,0.071677888,0.145859579,0,179.1947197,364.6489485,SW,IWGm
3459,31.67331526,0,21.26179224,78.73820776,0,0.067343145,0.249390008,0,168.3578621,623.4750194,SW,IWGm
image7,15.44337286,0,0,100,0,0,0.154433729,0,0,386.0843215,SW,IWGb
image3,11.75555756,10.69860876,0.38378062,88.91761062,0.012576811,0.000451156,0.104527609,31.44202777,1.127888793,261.3190225,SW,IWGb
image5,29.89687775,1.5440983,0,98.4559017,0.004616372,0,0.294352406,11.54092953,0,735.8810143,SW,IWGb
image9,15.56381312,8.838901052,0,91.16109895,0.0137567,0,0.141881431,34.39175104,0,354.7035769,SW,IWGb
image11,18.94077198,6.705489571,0,93.29451043,0.012700715,0,0.176707005,31.75178724,0,441.7675122,SW,IWGb
image1,15.54531112,38.38303118,2.080485938,59.53648288,0.059667616,0.00323418,0.092551315,149.1690403,8.085450294,231.3782873,SW,IWGb
image2,14.83473803,14.32877011,0,85.67122989,0.021256355,0,0.127091025,53.14088772,0,317.7275631,SW,IWGb
