Date,Replicate,pH,Ec_us/cm,NH4+NH3_mg/L,TS_%,VS_%,ADF_%,aNDF_%,Hemi-Cellulose_%,Total_C_%,Total_N_%,C:N
2013-12-13,1,6.66,1130.00,,2.09,70.95,28.66,69.95,41.29,1.25,0.20,6.10
2013-12-13,2,6.56,1198.00,,2.15,71.43,12.50,11.44,0.00,1.23,0.22,5.50
2013-12-13,3,6.63,1261.00,,1.95,70.13,8.05,9.32,1.27,1.18,0.22,5.40
2014-11-04,1,6.81,1213.00,,2.09,68.81,,,,1.03,0.17,6.00
2014-11-04,2,6.80,1298.00,,2.32,,,,,1.03,0.17,6.20
2014-11-04,3,6.78,1282.00,,3.03,71.73,,,,1.53,0.19,8.00
2014-02-17,1,6.48,1272.00,1076.17,2.77,71.49,,,,1.47,0.18,8.30
2014-02-17,2,6.48,1251.00,938.10,2.62,73.62,,,,1.54,0.18,8.80
2014-02-17,3,6.50,1267.00,976.02,4.42,80.57,,,,1.54,0.17,8.80
2014-03-17,1,6.40,1340.00,1316.79,3.10,71.14,14.35,16.88,2.53,1.25,0.18,6.97
2014-03-17,2,6.51,1303.00,1079.08,2.46,69.86,16.87,19.40,2.53,1.05,0.16,6.53
2014-03-17,3,6.46,1295.00,1171.96,,19.04,14.91,17.47,2.56,1.13,0.17,6.59
