Year,Month,Type,NEE_f,error
2018,12,IWGb,0.29909369,0.16287019
2018,12,IWGm,0.43317915,0.109560318
2019,1,IWGb,0.22524935,0.163508567
2019,1,IWGm,-0.07734579,0.109930835
2019,2,IWGb,-0.036461,0.075554277
2019,2,IWGm,-0.01013589,0.15849594
2019,3,IWGb,0.06854008,0.128583732
2019,3,IWGm,0.36289635,0.159429228
2019,4,IWGb,-0.06591091,0.394887647
2019,4,IWGm,0.44255154,0.221831351
2019,5,IWGb,-3.10971831,0.426451632
2019,5,IWGm,-2.84767045,0.337501803
2019,6,IWGb,-7.05699966,0.663989652
2019,6,IWGm,-6.11309203,0.36797046
2019,7,IWGb,-3.46860099,0.742142394
2019,7,IWGm,-4.80710926,0.685355444
2019,8,IWGb,-1.80609144,0.442182853
2019,8,IWGm,-2.92362537,0.562251981
2019,9,IWGb,0.68671026,0.257225812
2019,9,IWGm,0.36115971,0.416518843
2019,10,IWGb,-2.07593789,0.23953366
2019,10,IWGm,-1.24428826,0.323026124
2019,11,IWGb,0.13627095,0.12517006
2019,11,IWGm,-0.15416018,0.149996801
2019,12,IWGb,0.12453237,0.077062892
2019,12,IWGm,0.11021941,0.193360025
2020,1,IWGb,0.62355013,0.152296306
2020,1,IWGm,0.16998983,0.18339699
2020,2,IWGb,0.14993469,0.117899171
2020,2,IWGm,0.11441247,0.132664834
2020,3,IWGb,-0.18917086,0.138700818
2020,3,IWGm,-0.05066601,0.227591065
2020,4,IWGb,-3.64089135,0.475391625
2020,4,IWGm,-3.26320449,0.322771941
2020,5,IWGb,-4.91909288,0.467942066
2020,5,IWGm,-5.40228226,0.427346884
2020,6,IWGb,-4.74853074,0.389135579
2020,6,IWGm,-4.55188314,0.508022474
2020,7,IWGb,-0.34048796,0.345222707
2020,7,IWGm,-1.45566773,0.442328352
2020,8,IWGb,0.88306825,0.438690653
2020,8,IWGm,-0.10573074,0.487110973
2020,9,IWGb,-1.57098129,0.405118514
2020,9,IWGm,-2.22980213,0.502165205
2020,10,IWGb,-1.36745258,0.336241651
2020,10,IWGm,-2.0917587,0.269943262
2020,11,IWGb,0.01935147,0.207313438
2020,11,IWGm,-0.01480326,0.310631325
2020,12,IWGb,0.55161118,0.12523537
2020,12,IWGm,0.5139547,0.133351377
2021,1,IWGb,0.47294832,0.302623738
2021,1,IWGm,0.62169626,0.159795196
