station name: LODI WWTP,,,,,,,,,,
station identifier: 474790,,,,,,,,,,
key: T=trace | M=missing | blank=unknown,,,,,,,,,,
,maximum,minimum,precipitation,snowfall,snow depth,time of,time of,time of,time of,time of
,temperature,temperature,,,,observation,observation,observation,observation,observation
Date,temp_max,temp_min,precipitation,snowfall,snow depth,maxt,mint,pcpn,snow,snwd
date,(degrees F),(degrees F),(inches),(inches),(inches),(hour),(hour),(hour),(hour),(hour)
9/20/05,82,49,0,M,M,7,7,7,,
9/21/05,84,52,0,M,M,6,6,6,,
9/22/05,89,59,0.36,M,M,6,6,6,,
9/23/05,73,45,0.25,M,M,6,6,6,,
9/24/05,72,45,0,M,M,5,5,5,,
9/25/05,69,52,0.21,M,M,5,5,5,,
9/26/05,70,61,0.83,M,M,6,6,6,,
9/27/05,70,42,0.02,M,M,6,6,6,,
9/28/05,76,42,0,M,M,5,5,5,,
9/29/05,76,40,0.41,M,M,6,6,6,,
9/30/05,63,39,0,0,0,6,6,6,6,6
10/1/05,73,46,0,0,0,8,8,8,0,8
10/2/05,83,48,0,0,0,8,8,8,0,8
10/3/05,81,56,0,0,0,8,8,8,0,8
10/4/05,86,56,0,0,0,8,8,8,0,8
10/5/05,88,70,0.17,0,0,8,8,8,0,8
10/6/05,86,41,0.34,0,0,8,8,8,0,8
10/7/05,49,40,0,0,0,8,8,8,0,8
10/8/05,53,36,0,0,0,8,8,8,0,8
10/9/05,55,34,0,0,0,8,8,8,0,8
10/10/05,63,34,0,0,0,8,8,8,0,8
10/11/05,57,35,0,0,0,8,8,8,0,8
10/12/05,64,41,0.01,0,0,8,8,8,0,8
10/13/05,64,41,0.01,0,0,8,8,8,0,8
10/14/05,66,41,0.01,0,0,8,8,8,0,8
10/15/05,76,40,0,0,0,8,8,8,0,8
10/16/05,65,31,0,0,0,8,8,8,0,8
10/17/05,65,35,0.01,0,0,8,8,8,0,8
10/18/05,75,38,0.09,0,0,8,8,8,0,8
10/19/05,77,38,0,0,0,8,8,8,0,8
10/20/05,60,31,0,0,0,8,8,8,0,8
10/21/05,58,30,0,0,0,8,8,8,0,8
10/22/05,57,35,0,0,0,8,8,8,0,8
10/23/05,48,30,0,0,0,8,8,8,0,8
10/24/05,46,37,0.18,0,0,8,8,8,0,8
10/25/05,47,34,0,0,0,8,8,8,0,8
10/26/05,52,33,0,0,0,8,8,8,0,8
10/27/05,52,25,0,0,0,8,8,8,0,8
10/28/05,53,24,0,0,0,8,8,8,0,8
10/29/05,57,M,0,0,0,8,8,8,0,8
10/30/05,65,35,0,0,0,8,8,8,0,8
10/31/05,60,46,0.14,0,0,8,8,8,0,8
11/1/05,58,29,0,0,0,8,8,8,0,8
11/2/05,58,29,0,0,0,8,8,8,0,8
11/3/05,66,30,0,0,0,8,8,8,0,8
11/4/05,66,35,0,0,0,8,8,8,0,8
11/5/05,59,39,0,0,0,8,8,8,0,8
11/6/05,55,38,1.42,0,0,8,8,8,0,8
11/7/05,52,36,0.02,0,0,8,8,8,0,8
11/8/05,65,32,0,0,0,8,8,8,0,8
11/9/05,62,32,0,0,0,8,8,8,0,8
11/10/05,49,26,0,0,0,8,8,8,0,8
11/11/05,49,26,0,0,0,8,8,8,0,8
11/12/05,60,28,0,0,0,8,8,8,0,8
11/13/05,63,40,0.25,0,0,8,8,8,0,8
11/14/05,45,26,0,0,0,8,8,8,0,8
11/15/05,42,29,0.1,0,0,8,8,8,0,8
11/16/05,41,28,0.87,T,T,8,8,8,0,8
11/17/05,27,11,0,0,0,8,8,8,0,8
11/18/05,27,11,0,0,0,8,8,8,0,8
11/19/05,39,26,0,0,0,8,8,8,0,8
11/20/05,47,37,0,0,0,8,8,8,0,8
11/21/05,39,34,0,0,0,8,8,8,0,8
11/22/05,48,26,0,0,0,8,8,8,0,8
11/23/05,37,27,0.07,1.2,1,8,8,8,0,8
11/24/05,41,13,0,0,0,8,8,8,0,8
11/25/05,19,12,0,0,0,8,8,8,0,8
11/26/05,20,9,0.18,2,2,8,8,8,0,8
11/27/05,37,9,0.28,0,T,8,8,8,0,8
11/28/05,53,37,0.55,0,0,8,8,8,0,8
11/29/05,58,28,0.08,T,T,8,8,8,0,8
11/30/05,29,20,0,0,0,8,8,8,0,8
12/1/05,26,19,0.23,3,3,8,8,8,0,8
12/2/05,25,9,0.03,0.5,4,8,8,8,0,8
12/3/05,20,9,0,0,M,8,8,8,0,8
12/4/05,21,5,0.24,M,M,8,8,8,0,8
12/5/05,22,-6,0,0,5,8,8,8,0,8
12/6/05,13,-8,0,0,5,8,8,8,0,8
12/7/05,12,-12,0,0,5,8,8,8,0,8
12/8/05,20,-12,0,0,5,8,8,8,0,8
12/9/05,20,4,0.15,1.6,7,8,8,8,0,8
12/10/05,23,4,0,0,6,8,8,8,0,8
12/11/05,31,20,0.05,T,6,8,8,8,0,8
12/12/05,27,-2,0,0,6,8,8,8,0,8
12/13/05,24,-2,0,0,6,8,8,8,0,8
12/14/05,30,24,0.07,1,7,8,8,8,0,8
12/15/05,34,28,0.2,2.5,9,8,8,8,0,8
12/16/05,34,17,0.05,T,7,8,8,8,0,8
12/17/05,34,7,0,0,7,8,8,8,0,8
12/18/05,34,-3,0,0,7,8,8,8,0,8
