station name: SAUK CITY WWTP,,,,,,,,,,
station identifier: 477576,,,,,,,,,,
key: T=trace | M=missing | blank=unknown,,,,,,,,,,
,maximum,minimum,precipitation,snowfall,snow depth,time of,time of,time of,time of,time of
,temperature,temperature,,,,observation,observation,observation,observation,observation
Date,max_temp,min_temp,precipitation,snowfall,snow_depth,maxt,mint,pcpn,snow,snwd
date,(degrees F),(degrees F),(inches),(inches),(inches),(hour),(hour),(hour),(hour),(hour)
1/10/07,M,M,0,0,0,,,7,7,7
1/11/07,M,M,M,M,M,,,,,
1/12/07,M,M,0.01,0,0,,,7,7,7
1/13/07,M,M,0,0,0,,,8,8,8
1/14/07,M,M,0.01,0.5,1,,,10,10,10
1/15/07,M,M,0.01,2.6,3,,,7,7,7
1/16/07,M,M,0.01,0.8,4,,,8,8,8
1/17/07,M,M,M,M,M,,,,,
1/18/07,M,M,0.01,0.3,4,,,7,7,7
1/19/07,M,M,0.02,0.2,M,,,7,7,
1/20/07,M,M,M,M,M,,,,,
1/21/07,M,M,M,M,M,,,,,
1/22/07,M,M,M,M,M,,,,,
1/23/07,M,M,M,M,M,,,,,
1/24/07,M,M,M,M,M,,,,,
1/25/07,M,M,M,M,M,,,,,
1/26/07,M,M,M,M,M,,,,,
1/27/07,M,M,M,M,M,,,,,
1/28/07,M,M,M,M,M,,,,,
1/29/07,M,M,M,M,M,,,,,
1/30/07,M,M,M,M,M,,,,,
1/31/07,M,M,M,M,M,,,,,
2/1/07,M,M,M,M,M,,,,,
2/2/07,M,M,M,M,M,,,,,
2/3/07,M,M,M,M,M,,,,,
2/4/07,M,M,M,M,M,,,,,
2/5/07,M,M,M,M,M,,,,,
2/6/07,M,M,M,M,M,,,,,
2/7/07,M,M,M,M,M,,,,,
2/8/07,M,M,M,M,M,,,,,
2/9/07,M,M,M,M,M,,,,,
2/10/07,M,M,M,M,M,,,,,
2/11/07,M,M,M,M,M,,,,,
2/12/07,M,M,M,M,M,,,,,
2/13/07,M,M,M,M,M,,,,,
2/14/07,M,M,M,M,M,,,,,
2/15/07,M,M,M,M,M,,,,,
2/16/07,M,M,M,M,M,,,,,
2/17/07,M,M,M,M,M,,,,,
2/18/07,M,M,M,M,M,,,,,
2/19/07,M,M,M,M,M,,,,,
2/20/07,M,M,M,M,M,,,,,
2/21/07,M,M,M,M,M,,,,,
2/22/07,M,M,M,M,M,,,,,
2/23/07,M,M,M,M,M,,,,,
2/24/07,M,M,M,M,M,,,,,
2/25/07,M,M,M,M,M,,,,,
2/26/07,M,M,M,M,M,,,,,
2/27/07,M,M,M,M,M,,,,,
2/28/07,M,M,M,M,M,,,,,
3/1/07,M,M,M,M,M,,,,,
3/2/07,M,M,M,M,M,,,,,
3/3/07,M,M,M,M,M,,,,,
3/4/07,M,M,M,M,M,,,,,
3/5/07,M,M,M,M,M,,,,,
3/6/07,M,M,M,M,M,,,,,
3/7/07,M,M,M,M,M,,,,,
3/8/07,M,M,M,M,M,,,,,
3/9/07,M,M,M,M,M,,,,,
3/10/07,M,M,M,M,M,,,,,
